Canal,Trozo_1,Trozo_2,Trozo_3,Trozo_4,Trozo_5,Trozo_6,Trozo_7,Trozo_8,Trozo_9,Trozo_10,Trozo_11,Trozo_12
R14,7.20E+12,1.72E+13,2.61E+13,3.21E+13,3.54E+13,3.77E+13,3.75E+13,3.52E+13,3.17E+13,2.56E+13,1.68E+13,7.01E+12
R15,6.89E+12,1.65E+13,2.52E+13,3.14E+13,3.54E+13,3.78E+13,3.76E+13,3.52E+13,3.12E+13,2.51E+13,1.64E+13,6.84E+12
R16,6.50E+12,1.56E+13,2.35E+13,2.93E+13,3.43E+13,3.70E+13,3.69E+13,3.41E+13,2.91E+13,2.32E+13,1.53E+13,6.40E+12
R17,5.89E+12,1.41E+13,2.05E+13,2.44E+13,3.23E+13,3.54E+13,3.53E+13,3.20E+13,2.42E+13,2.04E+13,1.40E+13,5.86E+12
R18,5.14E+12,1.24E+13,1.81E+13,2.16E+13,2.94E+13,3.25E+13,3.23E+13,2.91E+13,2.13E+13,1.78E+13,1.22E+13,5.07E+12
R19,4.15E+12,1.01E+13,1.58E+13,2.07E+13,2.57E+13,2.81E+13,2.80E+13,2.55E+13,2.05E+13,1.57E+13,1.00E+13,4.12E+12
R20,2.90E+12,7.19E+12,1.20E+13,1.63E+13,1.99E+13,2.15E+13,2.14E+13,1.97E+13,1.61E+13,1.18E+13,7.03E+12,2.84E+12
S03,2.02E+12,5.07E+12,8.91E+12,1.26E+13,1.55E+13,1.68E+13,1.67E+13,1.53E+13,1.23E+13,8.66E+12,4.94E+12,1.97E+12
S04,3.29E+12,8.08E+12,1.30E+13,1.74E+13,2.16E+13,2.36E+13,2.35E+13,2.13E+13,1.70E+13,1.28E+13,7.94E+12,3.23E+12
S05,4.34E+12,1.05E+13,1.58E+13,1.92E+13,2.59E+13,2.86E+13,2.84E+13,2.56E+13,1.88E+13,1.54E+13,1.03E+13,4.24E+12
S06,5.16E+12,1.24E+13,1.85E+13,2.25E+13,2.95E+13,3.24E+13,3.22E+13,2.93E+13,2.22E+13,1.84E+13,1.23E+13,5.09E+12
S07,5.84E+12,1.41E+13,2.17E+13,2.75E+13,3.25E+13,3.51E+13,3.49E+13,3.23E+13,2.72E+13,2.13E+13,1.38E+13,5.73E+12
S08,6.28E+12,1.51E+13,2.35E+13,2.99E+13,3.44E+13,3.68E+13,3.67E+13,3.42E+13,2.97E+13,2.34E+13,1.51E+13,6.25E+12
S09,6.63E+12,1.60E+13,2.46E+13,3.09E+13,3.53E+13,3.77E+13,3.75E+13,3.51E+13,3.06E+13,2.42E+13,1.57E+13,6.53E+12
