Canal,Trozo_1,Trozo_2,Trozo_3,Trozo_4,Trozo_5,Trozo_6,Trozo_7,Trozo_8,Trozo_9,Trozo_10,Trozo_11,Trozo_12
L01,1.96358E+12,5.02166E+12,9.07541E+12,1.26951E+13,1.50574E+13,1.61406E+13,1.61217E+13,1.50141E+13,1.26461E+13,9.04617E+12,5.01225E+12,1.95903E+12
L02,3.2248E+12,8.06029E+12,1.35001E+13,1.79999E+13,2.10667E+13,2.25058E+13,2.24745E+13,2.09875E+13,1.78652E+13,1.33128E+13,7.90184E+12,3.16231E+12
L03,4.16207E+12,1.02189E+13,1.64957E+13,2.15335E+13,2.50585E+13,2.67383E+13,2.669E+13,2.49482E+13,2.14102E+13,1.64301E+13,1.01858E+13,4.13731E+12
L04,4.93069E+12,1.19734E+13,1.86814E+13,2.37248E+13,2.74252E+13,2.92855E+13,2.92123E+13,2.72543E+13,2.34973E+13,1.84081E+13,1.17525E+13,4.84678E+12
L05,5.38683E+12,1.29013E+13,1.96821E+13,2.45903E+13,2.77944E+13,2.97505E+13,2.96365E+13,2.7542E+13,2.43803E+13,1.96482E+13,1.29288E+13,5.38246E+12
L06,5.80633E+12,1.38325E+13,2.06857E+13,2.51033E+13,2.76219E+13,2.93332E+13,2.91486E+13,2.71632E+13,2.46141E+13,2.01872E+13,1.34307E+13,5.64578E+12
L07,5.9522E+12,1.40906E+13,2.10665E+13,2.51218E+13,2.68132E+13,2.80936E+13,2.78233E+13,2.60471E+13,2.46577E+13,2.10037E+13,1.41353E+13,5.9504E+12
L08,6.18304E+12,1.46309E+13,2.16643E+13,2.53319E+13,2.63452E+13,2.74121E+13,2.71422E+13,2.55629E+13,2.46767E+13,2.10853E+13,1.41707E+13,5.9982E+12
L09,6.16026E+12,1.44723E+13,2.13143E+13,2.49469E+13,2.60862E+13,2.73875E+13,2.72038E+13,2.56602E+13,2.46533E+13,2.13173E+13,1.45594E+13,6.17572E+12
L10,6.2799E+12,1.46941E+13,2.10306E+13,2.41046E+13,2.59586E+13,2.76398E+13,2.75312E+13,2.57083E+13,2.3749E+13,2.05562E+13,1.42846E+13,6.11791E+12
L11,6.19879E+12,1.43495E+13,1.97231E+13,2.13409E+13,2.60141E+13,2.81612E+13,2.80994E+13,2.58839E+13,2.12586E+13,1.98096E+13,1.4462E+13,6.21771E+12
L12,6.25639E+12,1.45412E+13,1.989E+13,2.13113E+13,2.59093E+13,2.80666E+13,2.80291E+13,2.58215E+13,2.11367E+13,1.95279E+13,1.42031E+13,6.13367E+12
L13,6.13278E+12,1.43029E+13,2.05395E+13,2.36869E+13,2.55983E+13,2.73501E+13,2.73305E+13,2.5562E+13,2.37052E+13,2.07066E+13,1.44778E+13,6.18755E+12
L14,6.16864E+12,1.45215E+13,2.12118E+13,2.44858E+13,2.54323E+13,2.68849E+13,2.68746E+13,2.53917E+13,2.43256E+13,2.08683E+13,1.41931E+13,6.04327E+12
L15,5.97564E+12,1.40899E+13,2.091E+13,2.44243E+13,2.52436E+13,2.67129E+13,2.67036E+13,2.52304E+13,2.44768E+13,2.11196E+13,1.43011E+13,6.04675E+12
L16,5.91323E+12,1.40228E+13,2.07826E+13,2.43475E+13,2.5655E+13,2.73134E+13,2.73046E+13,2.56257E+13,2.42151E+13,2.04838E+13,1.37359E+13,5.80524E+12
L17,5.6016E+12,1.33039E+13,1.99459E+13,2.42684E+13,2.6718E+13,2.85901E+13,2.85817E+13,2.67092E+13,2.43123E+13,2.01188E+13,1.34772E+13,5.65912E+12
L18,5.33258E+12,1.27927E+13,1.93962E+13,2.40182E+13,2.70738E+13,2.90681E+13,2.90597E+13,2.70486E+13,2.39111E+13,1.91594E+13,1.25664E+13,5.2476E+12
L19,4.79784E+12,1.16211E+13,1.8162E+13,2.31368E+13,2.67843E+13,2.86579E+13,2.86499E+13,2.67701E+13,2.31279E+13,1.82061E+13,1.16668E+13,4.80399E+12
L20,4.09299E+12,1.00671E+13,1.62046E+13,2.10762E+13,2.45156E+13,2.61887E+13,2.61813E+13,2.44973E+13,2.10214E+13,1.60876E+13,9.95887E+12,4.05519E+12
L21,3.12755E+12,7.80827E+12,1.31284E+13,1.7584E+13,2.06228E+13,2.20563E+13,2.205E+13,2.06134E+13,1.75872E+13,1.31731E+13,7.85676E+12,3.14234E+12
L22,1.9374E+12,4.95375E+12,8.92301E+12,1.24472E+13,1.47533E+13,1.58232E+13,1.58187E+13,1.47397E+13,1.24083E+13,8.85451E+12,4.89319E+12,1.9129E+12
M01,1.98986E+12,5.08992E+12,9.17218E+12,1.27886E+13,1.51394E+13,1.62133E+13,1.61914E+13,1.50789E+13,1.26921E+13,9.04937E+12,4.9912E+12,1.94908E+12
M02,3.21498E+12,8.03337E+12,1.35275E+13,1.81158E+13,2.12062E+13,2.26329E+13,2.25995E+13,2.11228E+13,1.80284E+13,1.34879E+13,8.02111E+12,3.20334E+12
M03,4.21205E+12,1.03786E+13,1.67778E+13,2.18456E+13,2.53139E+13,2.69456E+13,2.68953E+13,2.51838E+13,2.16578E+13,1.65383E+13,1.01819E+13,4.13597E+12
M04,4.94216E+12,1.20091E+13,1.89448E+13,2.42458E+13,2.78333E+13,2.95955E+13,2.95206E+13,2.76536E+13,2.40538E+13,1.88349E+13,1.19483E+13,4.90204E+12
M05,5.49604E+12,1.32444E+13,2.04296E+13,2.56755E+13,2.83944E+13,3.01648E+13,3.00499E+13,2.81128E+13,2.53023E+13,1.99923E+13,1.28844E+13,5.35198E+12
M06,5.7709E+12,1.37727E+13,2.10238E+13,2.60469E+13,2.82283E+13,2.97769E+13,2.95927E+13,2.77782E+13,2.57146E+13,2.09687E+13,1.38085E+13,5.7684E+12
M07,6.08159E+12,1.44739E+13,2.17029E+13,2.58107E+13,2.72944E+13,2.84811E+13,2.82115E+13,2.65008E+13,2.51572E+13,2.11431E+13,1.40356E+13,5.90548E+12
M08,6.12812E+12,1.44857E+13,2.16578E+13,2.55987E+13,2.66824E+13,2.77329E+13,2.74639E+13,2.59139E+13,2.5146E+13,2.16243E+13,1.45609E+13,6.13861E+12
